id,user,uid,version,changeset,timestamp
5585888,dannykath,2226712,14,41419148,2016-08-12T21:27:14Z
5585938,TheDutchMan13,1330847,2,27150419,2014-12-01T10:50:48Z
5585939,inah_telenav,5188736,2,51844833,2017-09-08T13:06:12Z
5585991,inah_telenav,5188736,4,51844833,2017-09-08T13:06:13Z
5586007,TheDutchMan13,1330847,6,49088626,2017-05-30T00:54:39Z
5586209,bogdanp_telenav,4433679,4,52068684,2017-09-15T13:03:41Z
5586303,inah_telenav,5188736,3,51845510,2017-09-08T13:27:17Z
5586410,TheDutchMan13,1330847,3,26704241,2014-11-11T07:04:45Z
5586431,TheDutchMan13,1330847,6,49088626,2017-05-30T00:54:39Z
5586448,TheDutchMan13,1330847,2,27150518,2014-12-01T10:56:18Z
5586449,TheDutchMan13,1330847,4,27150518,2014-12-01T10:56:18Z
5586473,inah_telenav,5188736,2,51844833,2017-09-08T13:06:13Z
5586477,inah_telenav,5188736,3,51844833,2017-09-08T13:06:13Z
5586747,Dr Kludge,292665,14,50696262,2017-07-30T15:26:45Z
5586776,TheDutchMan13,1330847,2,31195285,2015-05-16T08:12:25Z
5586901,TheDutchMan13,1330847,3,26704241,2014-11-11T07:04:45Z
5586902,TheDutchMan13,1330847,3,26704241,2014-11-11T07:04:44Z
5586903,TheDutchMan13,1330847,3,26704241,2014-11-11T07:04:45Z
5586935,TheDutchMan13,1330847,2,27645100,2014-12-23T07:52:55Z
5586970,Dr Kludge,292665,6,28957462,2015-02-19T14:28:29Z
5587108,marianp_telenav,5351387,11,52386108,2017-09-26T14:17:56Z
5587159,TheDutchMan13,1330847,12,43834315,2016-11-20T23:00:56Z
5587186,Dr Kludge,292665,2,9810546,2011-11-13T04:32:43Z
5587187,Dr Kludge,292665,2,9810546,2011-11-13T04:32:42Z
5587188,Dr Kludge,292665,2,9810546,2011-11-13T04:32:44Z
5587202,TheDutchMan13,1330847,4,49092404,2017-05-30T05:39:40Z
5587203,TheDutchMan13,1330847,6,49089784,2017-05-30T02:36:30Z
5587205,TheDutchMan13,1330847,6,49094523,2017-05-30T07:14:37Z
5587206,TheDutchMan13,1330847,7,49094523,2017-05-30T07:14:37Z
5587208,TheDutchMan13,1330847,5,49089784,2017-05-30T02:36:31Z
5587210,TheDutchMan13,1330847,7,49089784,2017-05-30T02:36:31Z
5587211,TheDutchMan13,1330847,7,49089784,2017-05-30T02:36:31Z
5587212,TheDutchMan13,1330847,7,49089784,2017-05-30T02:36:31Z
5587214,TheDutchMan13,1330847,6,49089784,2017-05-30T02:36:31Z
5587228,TheDutchMan13,1330847,7,49091589,2017-05-30T04:53:05Z
5587282,TheDutchMan13,1330847,6,49088626,2017-05-30T00:54:40Z
5587284,TheDutchMan13,1330847,24,49088626,2017-05-30T00:54:41Z
5587285,TheDutchMan13,1330847,8,49088626,2017-05-30T00:54:41Z
5587287,Dr Kludge,292665,6,45810666,2017-02-04T17:19:25Z
5587294,TheDutchMan13,1330847,3,49092404,2017-05-30T05:39:41Z
5587295,TheDutchMan13,1330847,3,49092404,2017-05-30T05:39:41Z
5587300,TheDutchMan13,1330847,5,49088626,2017-05-30T00:54:41Z
5587301,TheDutchMan13,1330847,5,49088626,2017-05-30T00:54:41Z
5587304,TheDutchMan13,1330847,4,49088626,2017-05-30T00:54:41Z
5587306,TheDutchMan13,1330847,3,49092404,2017-05-30T05:39:41Z
5587308,TheDutchMan13,1330847,4,49092404,2017-05-30T05:39:41Z
5587328,TheDutchMan13,1330847,5,27644912,2014-12-23T07:25:54Z
5587365,lukas64,4373087,9,49351750,2017-06-08T00:49:17Z
5587366,TheDutchMan13,1330847,4,49088626,2017-05-30T00:54:42Z
5587369,Leif Lodahl,125657,23,49279375,2017-06-05T17:54:46Z
5587371,TheDutchMan13,1330847,5,49088626,2017-05-30T00:54:42Z
5587372,Dr Kludge,292665,5,51753506,2017-09-05T14:56:03Z
5587376,TheDutchMan13,1330847,19,35453147,2015-11-20T02:34:48Z
5587382,TheDutchMan13,1330847,26,49088626,2017-05-30T00:54:43Z
5587383,TheDutchMan13,1330847,14,49088626,2017-05-30T00:54:43Z
5587393,TheDutchMan13,1330847,6,49092404,2017-05-30T05:39:42Z
5587396,Dr Kludge,292665,5,16098117,2013-05-12T16:18:09Z
5587398,TheDutchMan13,1330847,7,49088626,2017-05-30T00:54:43Z
5587405,TheDutchMan13,1330847,12,49091589,2017-05-30T04:53:07Z
5587424,TheDutchMan13,1330847,12,48807087,2017-05-19T01:00:10Z
5587431,lukas64,4373087,22,49403815,2017-06-09T17:46:10Z
5587433,balrog-kun,20587,4,4309152,2010-04-02T23:41:54Z
5587435,balrog-kun,20587,3,4309152,2010-04-02T23:41:54Z
5587436,balrog-kun,20587,3,4309152,2010-04-02T23:41:54Z
5587443,andreis_telenav,4870032,30,51572588,2017-08-30T11:01:45Z
5587444,balrog-kun,20587,3,4309152,2010-04-02T23:41:55Z
5587445,balrog-kun,20587,3,4309152,2010-04-02T23:41:55Z
5587447,TheDutchMan13,1330847,11,48807087,2017-05-19T01:00:10Z
5587449,TheDutchMan13,1330847,7,49088626,2017-05-30T00:54:45Z
5587492,TheDutchMan13,1330847,10,49088626,2017-05-30T00:54:46Z
5587493,TheDutchMan13,1330847,5,49089784,2017-05-30T02:36:32Z
5587496,Dr Kludge,292665,5,41039456,2016-07-26T14:27:54Z
